stay_up_late,pressure_level,coffee_consumed,brain_working_duration,school_assesssment,stress_level,shampoo_brand,swimming,hair_washing,hair_grease,dandruff,libido,hair_loss
2,Medium,0,6,None,Low,Hair & Shoulder,No,N,3,None,5,Medium
2,Medium,0,3,None,Medium,Hair & Shoulder,No,Y,3,None,5,Medium
3,High,3,7,Team ass,High,Hair & Shoulder,No,N,4,Few,0,Medium
2,High,4,7,Team ass,High,Hair & Shoulder,No,Y,4,Few,0,Medium
2,High,4,7,Team ass,High,Hair & Shoulder,No,N,4,Few,0,Many
4,High,4,8,Team ass,High,Hair & Shoulder,No,Y,4,Few,5,Many
4,High,4,7,Team ass,High,Hair & Shoulder,No,N,4,Few,4,Many
5,High,3,7,Team ass,High,Hair & Shoulder,No,Y,4,Few,5,A lot
6,High,5,10,Team ass,High,Hair & Shoulder,No,N,5,Many,5,A lot
0,High,0,7,None,High,Hair & Shoulder,No,Y,5,Many,4,A lot
0,High,0,0,None,High,Hair & Shoulder,No,N,5,Many,3,Many
0,High,5,12,Team ass,Very High,Hair & Shoulder,No,Y,5,Many,5,Many
3,Very High,6,13,Team ass,Very High,Hair & Shoulder,No,N,5,Many,5,A lot
4,Very High,6,13,Team ass,Very High,Hair & Shoulder,No,Y,5,Many,3,A lot
4,Very High,6,13,Team ass,Very High,Hair & Shoulder,No,N,5,Many,4,A lot
6,Very High,7,16,Team ass,Very High,Hair & Shoulder,No,Y,5,Many,5,A lot
8,Very High,8,18,Team ass,Very High,Hair & Shoulder,No,N,5,Many,4,A lot
0,Medium,0,0,None,High,Hair & Shoulder,No,Y,4,Few,3,A lot
0,Medium,0,0,None,High,Hair & Shoulder,No,N,4,Few,5,Many
1,Medium,2,10,Final exam revision,High,Hair & Shoulder,No,Y,4,Few,0,Many
1,Medium,2,10,Final exam revision,High,Hair & Shoulder,No,N,4,Few,0,Medium
1,Medium,2,10,Final exam revision,High,Hair & Shoulder,No,Y,4,Few,0,Medium
1,High,2,10,Final exam revision,High,Hair & Shoulder,No,N,4,Few,0,Medium
1,High,2,11,Final exam revision,Very High,Hair & Shoulder,No,Y,4,Few,0,Medium
2,High,1,6,Final exam revision,Very High,Hair & Shoulder,No,N,4,Few,5,Medium
8,Very High,9,18,Final exam,Very High,Hair & Shoulder,No,Y,5,Many,0,Many
0,High,2,6,Final exam revision,Very High,Hair & Shoulder,No,N,4,Few,5,Many
0,High,2,6,Final exam revision,Very High,Hair & Shoulder,No,Y,4,Few,5,Many
8,Very High,10,18,Final exam,Very High,Hair & Shoulder,No,N,5,Many,0,Many
2,Low,0,5,None,Medium,Hair & Shoulder,No,N,2,None,5,Medium
2,Low,0,2,None,Medium,Hair & Shoulder,No,Y,2,None,4,Medium
2,Low,0,2,None,Medium,Hair & Shoulder,No,N,1,None,3,Medium
2,Low,0,6,None,Low,Hair & Shoulder,No,Y,2,None,2,Medium
2,Low,0,0,None,Low,Hair & Shoulder,No,N,1,None,3,Few
2,Low,0,7,None,Low,Hair & Shoulder,No,Y,2,None,2,Few
3,Low,0,2,None,Low,Hair & Shoulder,No,N,1,None,0,Medium
2,Low,0,5,None,Low,Hair & Shoulder,No,N,2,None,0,Few
1,Low,0,0,None,Low,Hair & Shoulder,No,Y,2,None,0,Few
2,Low,0,2,None,Low,Hair & Shoulder,No,N,1,None,0,Few
0,Low,0,2,None,Medium,Hair & Shoulder,No,Y,2,None,4,Medium
2,Low,0,0,None,Medium,Hair & Shoulder,No,N,1,None,3,Medium
1,Low,0,6,None,Low,Hair & Shoulder,No,Y,2,None,2,Medium
1,Low,0,3,None,Low,Hair & Shoulder,No,N,1,None,3,Few
2,Low,0,7,None,Low,Hair & Shoulder,No,Y,2,None,2,Few
1,Low,0,3,None,Low,Hair & Shoulder,No,N,1,None,0,Few
1,Low,0,5,None,Low,Hair & Shoulder,No,N,2,None,0,Few
2,Low,0,1,None,Low,Hair & Shoulder,No,Y,2,None,0,Few
2,Low,0,2,None,Low,Hair & Shoulder,No,N,1,None,0,Few
0,Low,0,2,None,Low,Hair & Shoulder,No,Y,2,None,0,Few
3,Low,0,1,None,Medium,Hair & Shoulder,No,N,1,None,1,Medium
3,Low,0,3,None,Medium,Hair & Shoulder,No,Y,2,None,0,Medium
2,Low,0,0,None,Medium,Hair & Shoulder,No,N,1,None,0,Few
0,Low,0,2,None,Medium,Hair & Shoulder,No,Y,2,None,0,Few
1,Low,0,1,None,Medium,Hair & Shoulder,No,N,1,None,1,Few
1,Low,0,0,None,Medium,Hair & Shoulder,No,Y,2,None,2,Few
1,Low,0,1,None,Medium,Hair & Shoulder,No,N,1,None,4,Few
0,Low,0,3,None,Medium,Hair & Shoulder,No,N,2,None,5,Medium
3,Low,0,0,None,Medium,Hair & Shoulder,No,Y,2,None,5,Medium
3,Low,1,2,None,Low,Pantene,No,N,3,None,2,Medium
3,Low,1,0,None,Low,Pantene,Yes,Y,3,None,4,Medium
2,Low,1,0,None,Low,Pantene,No,N,3,None,5,Medium
1,Low,1,2,None,Low,Pantene,No,N,1,None,5,Medium
2,Low,1,3,None,Low,Pantene,Yes,Y,2,None,5,Medium
1,Low,1,0,None,Low,Pantene,Yes,Y,1,None,5,Medium
2,Low,1,2,None,Low,Pantene,No,N,2,None,5,Medium
2,Low,0,1,None,Low,Pantene,No,N,1,None,3,Few
1,Low,0,2,None,Low,Pantene,Yes,Y,1,None,1,Few
2,Low,0,2,None,Low,Pantene,No,N,2,None,1,Few
1,Low,0,0,None,Low,Pantene,No,N,1,None,1,Few
1,Low,0,1,None,Low,Pantene,Yes,Y,2,None,1,Few
1,Low,0,2,None,Low,Pantene,Yes,Y,2,None,1,Few
3,Low,1,3,None,Low,Pantene,No,N,2,None,2,Medium
0,Low,0,1,None,Low,Pantene,No,N,3,None,1,Few
1,Low,0,3,None,Low,Pantene,Yes,Y,2,None,2,Few
1,Low,0,6,None,Low,Pantene,No,N,2,None,3,Few
1,Low,0,2,None,Low,Pantene,No,N,2,None,3,Few
2,Low,1,7,None,Low,Pantene,Yes,Y,2,None,5,Medium
1,Low,1,0,None,Low,Pantene,Yes,Y,1,None,5,Medium
2,Low,1,5,None,Low,Pantene,No,N,2,None,5,Medium
2,Low,1,2,None,Low,Pantene,No,N,1,None,5,Medium
0,Low,0,0,None,Low,Pantene,Yes,Y,1,None,4,Few
2,Low,0,6,None,Low,Pantene,No,N,2,None,1,Few
0,Low,0,0,None,Low,Pantene,No,N,1,None,1,Few
2,Low,0,7,None,Low,Pantene,Yes,Y,2,None,1,Few
2,Low,0,2,None,Low,Pantene,Yes,Y,1,None,1,Few
3,Low,1,5,None,Low,Pantene,No,N,1,None,2,Medium
1,Medium,0,3,None,Low,Pantene,No,N,3,None,3,Few
1,Medium,0,0,None,Low,Pantene,Yes,Y,2,None,4,Few
2,Medium,1,8,Individual ass,Medium,Pantene,No,N,4,Few,5,Medium
3,Medium,2,8,Individual ass,Medium,Pantene,No,N,4,Few,5,Medium
4,Medium,3,9,Individual ass,Medium,Pantene,Yes,Y,4,Few,5,Medium
3,Medium,3,9,Individual ass,Medium,Pantene,Yes,Y,4,Few,3,Medium
3,Medium,3,10,Individual ass,Medium,Pantene,No,N,4,Few,1,Few
4,Low,2,10,Individual ass,Medium,Pantene,No,Y,4,Few,1,Medium
3,Low,0,3,None,Low,Pantene,No,N,3,None,1,Medium
2,Low,0,6,None,Low,Pantene,No,Y,3,None,1,Medium
3,Low,0,2,None,Low,Pantene,No,N,3,None,2,Few
2,Medium,0,7,None,Low,Pantene,No,Y,3,None,2,Few
3,Medium,0,3,None,Low,Pantene,No,N,3,None,2,Few
4,Medium,3,8,Individual ass,Low,Pantene,No,Y,4,Few,2,Few
4,Medium,3,8,Individual ass,Low,Pantene,No,N,4,Few,2,Medium
2,Medium,0,1,None,Low,Pantene,No,Y,4,Few,5,Medium
2,Medium,0,6,None,Low,Pantene,No,N,3,None,5,Medium
2,Medium,0,0,None,Medium,Hair & Shoulder,No,Y,3,None,5,Medium
3,High,3,7,Team ass,High,Hair & Shoulder,No,N,4,Few,0,Medium
2,High,4,7,Team ass,High,Hair & Shoulder,No,Y,4,Few,0,Medium
2,High,4,7,Team ass,High,Hair & Shoulder,No,N,4,Few,0,Many
4,High,4,8,Team ass,High,Hair & Shoulder,No,Y,4,Few,5,Many
4,High,4,7,Team ass,High,Hair & Shoulder,No,N,4,Few,4,Many
5,High,3,7,Team ass,High,Hair & Shoulder,No,Y,4,Few,5,Many
6,High,5,10,Team ass,High,Hair & Shoulder,No,N,5,Many,5,Many
0,High,0,7,None,High,Hair & Shoulder,No,Y,5,Many,4,Many
0,High,0,1,None,High,Hair & Shoulder,No,N,5,Many,3,Many
0,High,5,12,Team ass,Very High,Hair & Shoulder,No,Y,5,Many,5,Many
3,Very High,6,13,Team ass,Very High,Hair & Shoulder,No,N,5,Many,5,Many
4,Very High,6,13,Team ass,Very High,Hair & Shoulder,No,Y,5,Many,3,A lot
4,Very High,6,13,Team ass,Very High,Hair & Shoulder,No,N,5,Many,4,A lot
6,Very High,7,16,Team ass,Very High,Hair & Shoulder,No,Y,5,Many,5,A lot
8,Very High,8,18,Team ass,Very High,Hair & Shoulder,No,N,5,Many,4,A lot
0,Medium,0,0,None,High,Hair & Shoulder,No,Y,4,Few,3,A lot
0,Medium,0,0,None,High,Hair & Shoulder,No,N,4,Few,5,Many
1,Medium,2,10,Final exam revision,High,Hair & Shoulder,No,Y,4,Few,0,Many
1,Medium,2,10,Final exam revision,High,Hair & Shoulder,No,N,4,Few,0,Medium
1,Medium,2,10,Final exam revision,High,Hair & Shoulder,No,Y,4,Few,0,Medium
1,High,2,10,Final exam revision,High,Hair & Shoulder,No,N,4,Few,0,Medium
1,High,2,11,Final exam revision,Very High,Hair & Shoulder,No,Y,4,Few,0,Medium
2,High,1,6,Final exam revision,Very High,Hair & Shoulder,No,N,4,Few,5,Medium
8,Very High,9,18,Final exam,Very High,Hair & Shoulder,No,Y,5,Many,0,Many
0,High,2,6,Final exam revision,Very High,Hair & Shoulder,No,N,4,Few,5,Many
0,High,2,6,Final exam revision,Very High,Hair & Shoulder,No,Y,4,Few,5,Many
8,Very High,10,18,Final exam,Very High,Hair & Shoulder,No,N,5,Many,0,Many
6,Very High,9,16,Final exam,Very High,Hair & Shoulder,No,Y,5,Many,0,Many
1,Low,0,0,None,Low,Hair & Shoulder,No,Y,3,None,1,Few
0,Low,0,0,None,Low,Hair & Shoulder,No,N,2,None,1,Few
2,Low,0,1,None,Low,Hair & Shoulder,Yes,Y,2,None,2,Few
2,Low,0,1,None,Low,Hair & Shoulder,No,N,1,None,3,Few
2,Low,0,2,None,Low,Hair & Shoulder,No,Y,1,None,2,Few
3,Low,1,2,None,Low,Hair & Shoulder,Yes,Y,1,None,3,Medium
2,Low,0,1,None,Low,Hair & Shoulder,Yes,Y,3,None,3,Few
1,Low,0,3,None,Low,Hair & Shoulder,No,N,1,None,3,Few
1,Low,0,2,None,Low,Hair & Shoulder,No,N,2,None,4,Few
1,Low,1,3,None,Low,Hair & Shoulder,Yes,Y,2,None,5,Medium
0,Low,1,2,None,Low,Hair & Shoulder,No,N,2,None,5,Medium
2,Low,1,0,None,Low,Hair & Shoulder,No,N,2,None,5,Medium
0,Low,1,2,None,Low,Hair & Shoulder,Yes,Y,1,None,5,Medium
0,Low,1,3,None,Low,Hair & Shoulder,Yes,Y,2,None,5,Medium
3,Low,1,2,None,Low,Hair & Shoulder,No,N,2,None,4,Medium
3,Low,1,0,None,Low,Hair & Shoulder,No,Y,3,None,4,Medium
1,Low,0,1,None,Low,Hair & Shoulder,Yes,Y,3,None,1,Few
2,Low,0,3,None,Low,Hair & Shoulder,No,N,2,None,1,Few
1,Low,0,2,None,Low,Hair & Shoulder,No,N,1,None,1,Few
0,Low,0,0,None,Low,Hair & Shoulder,Yes,Y,2,None,2,Few
2,Low,0,1,None,Low,Hair & Shoulder,Yes,Y,2,None,2,Few
1,Low,0,0,None,Low,Hair & Shoulder,No,N,1,None,3,Few
3,Low,1,3,None,Low,Hair & Shoulder,No,N,2,None,4,Medium
0,Low,0,1,None,Low,Hair & Shoulder,Yes,Y,3,None,2,Few
0,Low,0,0,None,Low,Hair & Shoulder,No,N,2,None,2,Few
3,Low,1,1,None,Low,Hair & Shoulder,No,Y,2,None,3,Medium
1,Low,1,1,None,Low,Hair & Shoulder,Yes,Y,3,None,5,Medium
1,Low,1,1,None,Low,Hair & Shoulder,Yes,Y,2,None,5,Medium
0,Low,1,0,None,Low,Hair & Shoulder,No,N,2,None,5,Medium
2,Low,1,2,None,Low,Hair & Shoulder,No,N,2,None,5,Medium
2,Low,0,2,None,Low,Hair & Shoulder,Yes,Y,1,None,1,Few
2,Low,0,0,None,Low,Hair & Shoulder,No,Y,3,None,1,Few
0,Low,0,1,None,Low,Hair & Shoulder,No,N,1,None,1,Few
0,Low,0,0,None,Low,Hair & Shoulder,Yes,Y,2,None,2,Few
2,Low,0,2,None,Low,Hair & Shoulder,No,N,2,None,3,Few
3,Low,1,1,None,Low,Hair & Shoulder,No,Y,1,None,2,Medium
3,Low,1,2,None,Low,Hair & Shoulder,Yes,Y,3,None,3,Medium
0,Low,0,2,None,Low,Hair & Shoulder,Yes,Y,3,None,3,Few
1,Low,0,1,None,Low,Hair & Shoulder,No,N,2,None,3,Few
3,Low,1,0,None,Low,Hair & Shoulder,No,N,2,None,4,Medium
3,Low,1,1,None,Low,Hair & Shoulder,Yes,Y,3,None,5,Medium
0,Low,1,3,None,Low,Hair & Shoulder,No,N,3,None,5,Medium
2,Low,1,0,None,Low,Hair & Shoulder,No,N,2,None,5,Medium
1,Low,1,3,None,Low,Hair & Shoulder,Yes,Y,1,None,5,Medium
2,Low,1,2,None,Low,Hair & Shoulder,Yes,Y,2,None,5,Medium
0,Low,0,1,None,Low,Hair & Shoulder,No,N,1,None,4,Few
0,Low,0,1,None,Low,Hair & Shoulder,No,Y,2,None,4,Few
2,Low,0,0,None,Low,Hair & Shoulder,Yes,Y,2,None,1,Few
1,Low,0,3,None,Low,Hair & Shoulder,No,N,1,None,1,Few
0,Low,0,2,None,Low,Hair & Shoulder,No,N,2,None,1,Few
0,Low,0,2,None,Low,Hair & Shoulder,Yes,Y,2,None,2,Few
1,Low,0,2,None,Low,Hair & Shoulder,Yes,Y,2,None,2,Few
1,Low,0,3,None,Low,Hair & Shoulder,No,N,2,None,3,Few
2,Low,0,1,None,Low,Hair & Shoulder,No,N,2,None,4,Few
1,Low,0,0,None,Low,Hair & Shoulder,Yes,Y,1,None,2,Few
1,Low,0,2,None,Low,Hair & Shoulder,No,N,2,None,2,Few
3,Low,1,0,None,Low,Hair & Shoulder,No,Y,2,None,3,Medium
2,Low,1,2,None,Low,Hair & Shoulder,Yes,Y,3,None,5,Medium
1,Low,1,0,None,Low,Hair & Shoulder,Yes,Y,1,None,5,Medium
2,Low,1,2,None,Low,Hair & Shoulder,No,N,2,None,5,Medium
1,Low,1,2,None,Low,Hair & Shoulder,No,N,1,None,5,Medium
1,Low,0,3,None,Low,Hair & Shoulder,Yes,Y,2,None,1,Few
1,Low,1,1,None,Low,Hair & Shoulder,No,N,2,None,5,Medium
0,Low,1,1,None,Low,Hair & Shoulder,No,N,2,None,5,Medium
1,Low,0,2,None,Low,Hair & Shoulder,Yes,Y,2,None,1,Few
